Mechanism Code,Type,Code,Type,Name,Description,Standards,Weight,percentageChoice0,percentageChoice2,percentageChoice3,percentageChoice4,percentageChoice5
S.AC,design,S.AC.D1,Boolean,Provision for Deterrent Controls,"Deterrent controls reduce the likelihood of a deliberate attack and is usually in the form of a tangible object or person, as in the case of locks, CCTVs and guards.",,1,0,100,100,100,
S.AC,design,S.AC.D2,Boolean,Provision for Preventative Controls,"Preventative measures are intended to be put in place before a threat event in order to lessen the chance and potential consequences of a successful threat event. Policies, standards, protocols, procedures, encryption, firewalls, and physical barriers are a few examples of preventative measures.",,1,0,0,0,100,
S.AC,design,S.AC.D3,Boolean,Provision for Detective Controls,"Detective controls are intended to identify a threat event as it is happening and to aid in inquiries and audits after the event has taken place. Detective controls include things like host and network intrusion detection of threat events, antivirus identification of malicious code, and security event log monitoring.",,1,0,100,100,100,
S.AC,design,S.AC.D4,Boolean,Provision for Corrective Controls,"Corrective measures are intended to lessen the possible impact of a threat event after it has already happened and restore regular operations. The automatic eradication of harmful code by antivirus software, business continuity and recovery strategiesare a few examples of corrective controls.",,1,0,0,100,100,
S.AC,design,S.AC.D5,Boolean,Provision for policy enforcement / decision / Information Points,A PEP is a system entity that requests authorization decisions and subsequently enforces them. Such entity can be  a software mechanism (such as the access control mechanism of a file system or Web server) or hardware network device that protects (in terms of regulating access to) the resources exposed.,https://csrc.nist.gov/glossary/term/policy_enforcement_point,1,0,0,0,0,
S.AC,design,S.AC.D6,Boolean,Is the AC enforced by a client/server communication protocol?,The enforcement of the AC methods through client / server protocols ensures a higher level of security and consistency than local enforcements.,,1,0,0,0,0,
S.AC,design,S.AC.D7,Percentage,Which percentage of applications/modules are covered by AC methods?,AC methods should be applied to the totality of system components and applications.,,1,0,25,50,75,
S.AC,design,S.AC.D8,Boolean,Does the AC system support host-based rules?,Host-based access control specifies which users (or user groups) are permitted to access particular hosts (or host groups) via particular services (or services in a service group). This allows you to restrict access to a particular system in your domain to a specific user group and to permit just a particular service to access the systems in your domain.,,1,0,0,0,100,
S.AC,design,S.AC.D9,Percentage,What is the level of configurability of the AC system?,"0% - Not configurable
25% - Limited configuration possibilities
50% - Standard configuration possibilities
75% - Role-based or advance configuration possibilities
100% - Capable of handling possible future policy changes",,1,0,25,50,75,
S.AC,design,S.AC.D10,Boolean,Provision for session termination,"The organisation defines conditions or trigger events requiring session disconnect, and the information system terminates a user session automatically when the organization-defined criteria or trigger events requiring session disconnect occur.",AC-12 SESSION TERMINATION from NIST 800-171,1,0,0,0,0,
S.AC,operational,S.AC.O1,Boolean,Deployment of Deterrent Controls,"Deterrent controls reduce the likelihood of a deliberate attack and is usually in the form of a tangible object or person, as in the case of locks, CCTVs and guards.",,1,0,100,100,100,
S.AC,operational,S.AC.O2,Boolean,Deployment of Preventive Controls,"Preventative measures are intended to be put in place before a threat event in order to lessen the chance and potential consequences of a successful threat event. Policies, standards, protocols, procedures, encryption, firewalls, and physical barriers are a few examples of preventative measures.",,1,0,0,0,100,
S.AC,operational,S.AC.O3,Boolean,Deployment of Detective Controls,"Detective controls are intended to identify a threat event as it is happening and to aid in inquiries and audits after the event has taken place. Detective controls include things like host and network intrusion detection of threat events, antivirus identification of malicious code, and security event log monitoring.",,1,0,0,100,100,
S.AC,operational,S.AC.O4,Boolean,Deployment of Corrective Controls,"Corrective measures are intended to lessen the possible impact of a threat event after it has already happened and restore regular operations. The automatic eradication of harmful code by antivirus software, business continuity and recovery strategiesare a few examples of corrective controls.",,1,0,0,100,100,
S.AC,operational,S.AC.O5,Boolean,Information Flow enforcement has been deployed.,A PEP is a system entity that requests authorization decisions and subsequently enforces them. Such entity can be  a software mechanism (such as the access control mechanism of a file system or Web server) or hardware network device that protects (in terms of regulating access to) the resources exposed.,,1,0,0,0,0,
S.AC,operational,S.AC.O6,Boolean,Does the response time of granting an access request meet the organization’s requirement?,"Will the AC system process subject access requests in a timely manner?
AC enforcement includes the number of operations required to approve a subject's access request and assess the safety (if available) of an access request. 
Measurement is based on the system model's computational complexity. 
Administrators should consider the worst-case subject count to evaluate performance.",NISTIR 7874,1,0,0,0,100,
S.AC,operational,S.AC.O7,Boolean,Does the response time for the maximum number of access requests in an expected timeframe meet the organization’s requirement?,"Will the AC system process subject access requests in a timely manner?
AC enforcement includes the number of operations required to approve a subject's access request and assess the safety (if available) of an access request. 
Measurement is based on the system model's computational complexity. 
Administrators should consider the worst-case subject count to evaluate performance.",NISTIR 7875,1,0,0,0,100,
S.AC,operational,S.AC.O8,Boolean,Does the response time for activating and revoking AC rules meet the organization’s requirement?,"Will the AC system process subject access requests in a timely manner?
AC enforcement includes the number of operations required to approve a subject's access request and assess the safety (if available) of an access request. 
Measurement is based on the system model's computational complexity. 
Administrators should consider the worst-case subject count to evaluate performance.",NISTIR 7876,1,0,0,0,100,
S.SAA,design,S.SAA.D1,Boolean,Plans of actions and milestones are defined.,"A document that specifies tasks that must be performed in order to achieve a sufficient level of security. It specifies the resources required to execute the plan's components, the tasks' milestones, and the completion deadlines for each milestone.",,1,0,100,100,100,
S.SAA,design,S.SAA.D2,Percentage,Potential degradation or Collateral Damage Potential (CDP),"The collateral damage potential (CDP) metric measures the potential loss or impact on either physical assets or the financial impact upon the affected organisation if a vulnerability is exploited.
100% No impact
80% Low
40% Low-Medium
20% Medium-High, 
0% High","MAGERIT, MITRE CVSS",1,0,20,40,100,
S.SAA,design,S.SAA.D3,Percentage,Threat scenario potential or Impact Subscore Modifier (ISM),"These metrics assess the specific security requirements for confidentiality (CR), integrity (IR) and availability (AR) in the case of EIDS.
100% for Loss of (confidentiality / integrity / availability) is likely to have only a limited effect on the organisation
50% Loss of (confidentiality / integrity / availability) is likely to have a serious effect on the organisation
0% Loss of (confidentiality / integrity / availability) is likely to have a catastrophic effect on the organisation","MAGERIT, MITRE CVSS",1,0,0,50,100,
S.SAA,design,S.SAA.D4,Percentage,Vulnerability potential or Target Distribution (TD),"The target distribution (TD) metric measures the proportion of vulnerable systems in the environment. 
100% None, 75% Low, 25% Medium, 0% High","MAGERIT, MITRE CVSS",1,0,25,50,75,
S.SAA,design,S.SAA.D5,Boolean,Provision for controls’ testing,"The testing and/or assessment of the management, operational, and technical security controls in an information system to establish the extent to which the measures are correctly installed, performing as intended, and meeting the system's security needs. 
Effectiveness is defined as the extent to which the controls are implemented correctly, operating as intended, and producing the desired outcome with respect to meeting the security requirements for the system.",NIST 800-137,1,0,0,0,0,
S.SAA,design,S.SAA.D6,Boolean,An ISMS is provisioned,"An information security management system (ISMS) is the compilation of all interrelated/interacting information security elements of an organisation in order to ensure that policies, procedures, and objectives can be developed, implemented, communicated, and evaluated in such a way to improve an organization's overall information security.",,1,0,0,0,100,
S.SAA,design,S.SAA.D7,Percentage,No of external security audits planned ,"An External Security Audit is the remote examination of the IT Security and Network Security by a third party. The objective is to reveal vulnerabilities and configuration issues, while educating and safeguarding businesses against cyber security threats. 
The external security audit also verifies that all services utilised by your organisation are effectively and securely configured.
100% one or more/year
66% one/2 years
33% one/5 years
0% None",,1,0,0,33,66,
S.SAA,design,S.SAA.D8,Boolean,Provision for AC log auditing,"The AC auditing procedure collects information about system activities and analyses it to detect security violations or determine their root cause. Analysis can be conducted offline after the fact or in real time online.
Auditing log should monitor the system continuosly, identifying and storing 3rd party accesses as well as denied/granted accesses.",,1,0,0,100,100,
S.SAA,design,S.SAA.D9,Boolean,Provision for customised audit information-providing capabilities,"The AC auditing procedure collects information about system activities and analyses it to detect security violations or determine their root cause. Analysis can be conducted offline after the fact or in real time online.
Auditing log should monitor the system continuosly, identifying and storing 3rd party accesses as well as denied/granted accesses.",,1,0,0,100,100,
S.SAA,design,S.SAA.D10,Boolean,Does the AC system provide policy identification for multiple policies?,"Information Security Policy document Is a collection of implementation-independent, conceptual information security policy statements that regulate the organization's security objectives. 
Along with a hierarchy of standards, guidelines, and procedures, policies aids in the implementation and enforcement.",,1,0,100,100,100,
S.SAA,design,S.SAA.D11,Boolean,Does the AC system allow policy expiration assignment?,"Information Security Policy document Is a collection of implementation-independent, conceptual information security policy statements that regulate the organization's security objectives. 
Along with a hierarchy of standards, guidelines, and procedures, policies aids in the implementation and enforcement.",,1,0,0,0,0,
S.SAA,design,S.SAA.D12,Boolean,Provision to avoid policy rules conflict,"Information Security Policy document Is a collection of implementation-independent, conceptual information security policy statements that regulate the organization's security objectives. 
Along with a hierarchy of standards, guidelines, and procedures, policies aids in the implementation and enforcement.",,1,0,0,0,0,
S.SAA,operational,S.SAA.O1,Percentage,Residual thread scenario or ISM,"These metrics assess the specific security requirements for confidentiality (CR), integrity (IR) and availability (AR) in the case of EIDS.
100% for Loss of (confidentiality / integrity / availability) is likely to have only a limited effect on the organisation
50% Loss of (confidentiality / integrity / availability) is likely to have a serious effect on the organisation
0% Loss of (confidentiality / integrity / availability) is likely to have a catastrophic effect on the organisation","MAGERIT, MITRE CVSS",1,0,50,100,,
S.SAA,operational,S.SAA.O2,Percentage,Residual vulnerability potential or TD,"The target distribution (TD) metric measures the proportion of vulnerable systems in the environment. 
100% None, 75% Low, 25% Medium, 0% High","MAGERIT, MITRE CVSS",1,0,50,100,,
S.SAA,operational,S.SAA.O3,Percentage,Efficacy of controls deployed ,"The testing and/or assessment of the management, operational, and technical security controls in an information system to establish the extent to which the measures are correctly installed, performing as intended, and meeting the system's security needs. 
Effectiveness is defined as the extent to which the controls are implemented correctly, operating as intended, and producing the desired outcome with respect to meeting the security requirements for the system.
0% not implemented,
33% implemented incorrectly or not fully implemented
66% fully implemented, not achieving the security requirements
100% fully implemented and with desidered outcome",NIST 800-137,1,0,0,100,,
S.SAA,operational,S.SAA.O4,Boolean,An ISMS is established,"An information security management system (ISMS) is the compilation of all interrelated/interacting information security elements of an organisation in order to ensure that policies, procedures, and objectives can be developed, implemented, communicated, and evaluated in such a way to improve an organization's overall information security.",,1,0,0,0,,
S.SAA,operational,S.SAA.O5,Percentage,No of external security audits conducted ,"An External Security Audit is the remote examination of the IT Security and Network Security by a third party. The objective is to reveal vulnerabilities and configuration issues, while educating and safeguarding businesses against cyber security threats. 
The external security audit also verifies that all services utilised by your organisation are effectively and securely configured.
100% one or more/year
66% one/2 years
33% one/5 years
0% None",,1,0,66,66,,
S.SAA,operational,S.SAA.O6,Boolean,AC system log contains 3rd party accesses,"The AC auditing procedure collects information about system activities and analyses it to detect security violations or determine their root cause. Analysis can be conducted offline after the fact or in real time online.
Auditing log should monitor the system continuosly, identifying and storing 3rd party accesses as well as denied/granted accesses.",,1,0,0,0,,
S.SAA,operational,S.SAA.O7,Boolean,AC system log contains denied access requests,"The AC auditing procedure collects information about system activities and analyses it to detect security violations or determine their root cause. Analysis can be conducted offline after the fact or in real time online.
Auditing log should monitor the system continuosly, identifying and storing 3rd party accesses as well as denied/granted accesses.",,1,0,66,100,,
S.SAA,operational,S.SAA.O8,Boolean,AC system log contains granted access requests,"The AC auditing procedure collects information about system activities and analyses it to detect security violations or determine their root cause. Analysis can be conducted offline after the fact or in real time online.
Auditing log should monitor the system continuosly, identifying and storing 3rd party accesses as well as denied/granted accesses.",,1,0,100,100,,
S.SAA,operational,S.SAA.O9,Boolean,Continuous traffic monitoring is in place ,"The AC auditing procedure collects information about system activities and analyses it to detect security violations or determine their root cause. Analysis can be conducted offline after the fact or in real time online.
Auditing log should monitor the system continuosly, identifying and storing 3rd party accesses as well as denied/granted accesses.",,1,0,0,100,,
S.SAA,operational,S.SAA.O10,Boolean,Does the AC system provide policy source authorization?,"Information Security Policy document Is a collection of implementation-independent, conceptual information security policy statements that regulate the organization's security objectives. 
Along with a hierarchy of standards, guidelines, and procedures, policies aids in the implementation and enforcement.",,1,0,0,0,,
S.AAA,design,S.AAA.D1,Boolean,Provision of an ISMS ,"An information security management system (ISMS) is the compilation of all interrelated/interacting information security elements of an organisation in order to ensure that policies, procedures, and objectives can be developed, implemented, communicated, and evaluated in such a way to improve an organization's overall information security.",,1,0,100,100,100,
S.AAA,design,S.AAA.D2,Boolean,Provision for policy enforcement using standard protocols,"The system must allow the configurability of the policies to meet the current and future requirements of the organization. 
In particular, the system should be able to import / export policies expressed through standard protocols, guaranteeing a higher level of security and manageriability.
Furthermore, these policies may, in turn, originate from the combination of external rules, inherent in different policy models.",,1,0,100,100,100,
S.AAA,design,S.AAA.D3,Boolean,System capable of combining policy rules of different policies ,"The system must allow the configurability of the policies to meet the current and future requirements of the organization. 
In particular, the system should be able to import / export policies expressed through standard protocols, guaranteeing a higher level of security and manageriability.
Furthermore, these policies may, in turn, originate from the combination of external rules, inherent in different policy models.",,1,0,0,100,100,
S.AAA,design,S.AAA.D4,Boolean,AC system capable of combining different policy models ,"The system must allow the configurability of the policies to meet the current and future requirements of the organization. 
In particular, the system should be able to import / export policies expressed through standard protocols, guaranteeing a higher level of security and manageriability.
Furthermore, these policies may, in turn, originate from the combination of external rules, inherent in different policy models.",,1,0,0,100,100,
S.AAA,design,S.AAA.D5,Boolean,"AC functions to convert, import, or export external AC policies ","The system must allow the configurability of the policies to meet the current and future requirements of the organization. 
In particular, the system should be able to import / export policies expressed through standard protocols, guaranteeing a higher level of security and manageriability.
Furthermore, these policies may, in turn, originate from the combination of external rules, inherent in different policy models.",,1,0,0,0,0,
S.AAA,design,S.AAA.D6,Boolean,Provision to enforce the least privilege principle ,The least privilege principle states that a security architecture should be designed so that each entity is granted the minimum system resources and authorizations that the entity needs to perform its function.,NIST 800-12,1,0,0,0,0,
S.AAA,design,S.AAA.D7,Boolean,System capable of specifying Static SoD rules ,"The fundamental idea behind the concept of Segregation of Tasks (SoD) is that no individual or group of employees should be able to create fraudulent or erroneous transactions as part of their routine duties. In the context of user access, a SoD ""ruleset"" is a thorough collection of access combinations that would pose a risk to an organisation if performed by a single user. Each unique access combination is referred to as a ""rule"" of SoD. Separation of duties can be enforced either statically (by defining conflicting roles, i.e., roles which cannot be executed by the same user) or dynamically (by enforcing the control at access time).",NIST 800-192,1,0,0,0,100,
S.AAA,design,S.AAA.D8,Boolean,System capable of specifying Dynamic SoD rules ,"The fundamental idea behind the concept of Segregation of Tasks (SoD) is that no individual or group of employees should be able to create fraudulent or erroneous transactions as part of their routine duties. In the context of user access, a SoD ""ruleset"" is a thorough collection of access combinations that would pose a risk to an organisation if performed by a single user. Each unique access combination is referred to as a ""rule"" of SoD. Separation of duties can be enforced either statically (by defining conflicting roles, i.e., roles which cannot be executed by the same user) or dynamically (by enforcing the control at access time).",NIST 800-192,1,0,0,0,100,
S.AAA,design,S.AAA.D9,Boolean,Provision for challenge-response mechanisms ,"Challenge-Response mechanisms are the most common method of action authentication. 
They are protocols in which one side provides a challenge (to be replied) and the other side must present a correct response (to be checked/validated) to the challenge. 
CRAM aids in resolving certain cyber assaults, such as Replay, and prevents credentials from being transmitted over the network.",,1,0,0,0,0,
S.AAA,operational,S.SAA.O4,Boolean,An ISMS is established,"An information security management system (ISMS) is the compilation of all interrelated/interacting information security elements of an organisation in order to ensure that policies, procedures, and objectives can be developed, implemented, communicated, and evaluated in such a way to improve an organization's overall information security.",,1,0,100,100,,
S.AAA,operational,S.SAA.O5,Boolean,API to 3rd party authentication ,"Third-party authentication servers can be used to improve security while facilitating access to the system. 
Specifically, the system connects to an external  trusted server where the user is already known, obtaining a cryptographic token for authentication.",,1,0,0,0,,
S.AAA,operational,S.SAA.O6 ,Boolean,Change control/incident tickets present  ,Production environments should be modified only after a ticket is raised.,,1,0,100,100,,
S.AAA,operational,S.SAA.O7,Percentage,Efficacy of controls deployed,"The testing and/or assessment of the management, operational, and technical security controls in an information system to establish the extent to which the measures are correctly installed, performing as intended, and meeting the system's security needs. 
Effectiveness is defined as the extent to which the controls are implemented correctly, operating as intended, and producing the desired outcome with respect to meeting the security requirements for the system.
0% not implemented,
33% implemented incorrectly or not fully implemented
66% fully implemented, not achieving the security requirements
100% fully implemented and with desidered outcome",NIST 800-137,1,0,100,100,,
S.AAA,operational,S.SAA.O8,Boolean,Enforcing operational/situational awareness control(s) ,,,1,0,0,0,,
S.AAA,operational,S.SAA.O9,Percentage,False acception rate (100%-FAR),"FAR relates to the  authentication algorithm's security and provides a statistical indicator of the likelihood that two different people can access the system, i.e. it cannot distinguish between two distinct fingerprints or other user-input. 
Score is 100%-FAR",,1,0,0,0,,
S.AAA,operational,S.SAA.O10,Percentage,False rejection rate (100%-FRR),"FRR is the probability (0-100%) that the AAA system does not detect a match between the user-provided input and the corresponding entry in the database. Or, equivalently, it estimates the percentage of valid inputs that are incorrectly rejected. Score is 100%-FRR",,1,0,0,0,,
S.AAA,operational,S.SAA.O11,Percentage,Authorisation Rate (AR) %,AR is the probability (0-100%) of an access request to be accepted.,,1,0,0,0,,
S.AAA,operational,S.SAA.O12,Boolean,Secure storage for accounting records ,Accounting records and permission should be stored in a secure (possible tamper proof) storage,,1,0,0,100,,
S.AAA,operational,S.SAA.O13,Boolean,Safety check capabilities to prevent leaking of permissions ,Continuous or periodic safety checks should be conducted to verify/prevent the leak of permissions or accounts.,,1,0,0,0,,
S.AAA,operational,S.SAA.O14,Boolean,Response to audit processing failures ,Audit processing failures are properly investigated and processed.,,1,0,0,0,,
S.AAA,operational,S.SAA.O15,Boolean,Audit record retention ,A retention policy has been defined and deployed for AAA audit.,,1,0,0,100,,
S.AAA,operational,S.SAA.O16,Boolean,Cross-organisation auditing supported ,Auditing is homogeneously and globally applied to the entire organisation.,,1,0,0,100,,
S.SSO,design,S.SSO.D1,Boolean,Provision for open SSO standards support ,"Single Sign-on (SSO) enables a user to access various apps using a single set of login credentials, such as a username and password, or even multi-factor authentication. This requires open standard protocols to establish how service providers (SPs) and identity providers (IdPs) can share identity and authentication information in order for SSO to function.",,1,0,100,100,,
S.SSO,design,S.SSO.D2,Boolean,Provision for 3rd party MFA support ,"Multi-factor Authentication (MFA) is an authentication system that requires the user to give two or more verification factors in order to access the system. MFA is a fundamental element of a robust identity and access management (IAM) strategy. MFA needs one or more extra verification criteria in addition to a username and password, which reduces the risk of a successful cyber attack. It is also important to investigate how good different MFA techniques work with specific groups of the population.",,1,0,0,100,,
S.SSO,design,S.SSO.D3,Boolean,Provision for IWA ,"Integrated Windows Authentication employs the Windows client and server security features. In contrast to Basic and Digest authentication, it does not initially prompt users for a username and password. Web browsers provide the current Windows user information on the client computer through a cryptographic transaction involving hashing with the Web server. If the authentication exchange first fails to identify the user, the web browser will prompt the user for the user name and password for their Windows user account.",,1,0,100,100,,
S.SSO,design,S.SSO.D4,Boolean,Provision for self-service password reset (SSPR) ,"Self-service password reset (SSPR) is any procedure or technology that enables users who have forgotten their password or triggered an intruder lockout to authenticate with an alternate factor and fix their own problem without contacting the help desk.
From a security point of view, it is important to impose a limit to the number of temporary tokens used in the process.",,1,0,0,0,,
S.SSO,design,S.SSO.D5,Boolean,Sign-in frequency control policy defined,"Whatever the modality of sign-in, it is important to define and apply a policy relating to the maximum frequency with which these accesses, or access attempts, can take place, for example as a deterrent to automated accesses.",,1,0,0,0,,
S.SSO,operational,S.SSO.O1,Boolean,Privacy preserving MFA techniques deployed,"Multi-factor Authentication (MFA) is an authentication system that requires the user to give two or more verification factors in order to access the system. MFA is a fundamental element of a robust identity and access management (IAM) strategy. MFA needs one or more extra verification criteria in addition to a username and password, which reduces the risk of a successful cyber attack. It is also important to investigate how good different MFA techniques work with specific groups of the population.",,1,0,100,100,,
S.SSO,operational,S.SSO.O2,Boolean,MFA usage patterns Analyser deployed ,"Multi-factor Authentication (MFA) is an authentication system that requires the user to give two or more verification factors in order to access the system. MFA is a fundamental element of a robust identity and access management (IAM) strategy. MFA needs one or more extra verification criteria in addition to a username and password, which reduces the risk of a successful cyber attack. It is also important to investigate how good different MFA techniques work with specific groups of the population.",,1,0,0,100,,
S.SSO,operational,S.SSO.O3,Boolean,Upper limit for the number of temporary verification codes,"Self-service password reset (SSPR) is any procedure or technology that enables users who have forgotten their password or triggered an intruder lockout to authenticate with an alternate factor and fix their own problem without contacting the help desk.
From a security point of view, it is important to impose a limit to the number of temporary tokens used in the process.",,1,0,0,100,,
S.SSO,operational,S.SSO.O4,Boolean,Sign-in frequency control policy implemented ,"Whatever the modality of sign-in, it is important to define and apply a policy relating to the maximum frequency with which these accesses, or access attempts, can take place, for example as a deterrent to automated accesses.",,1,0,0,100,,
S.IGI,design,S.IGI.D1,Boolean,Provision for compliance with industry connectors ,"Connectors are used to integrate Identity Governance platform with external, identity-aware applications.",,1,0,100,0,100,
S.IGI,design,S.IGI.D2,Boolean,Provision for groups that can create and monitor access review ,A group of people responsible for reviewing AC methods and accesses.,,1,0,0,0,0,
S.IGI,design,S.IGI.D3,Boolean,Provision for an entitlement catalogue ,"The entitlement catalogue facilitate the management that grants, resolves, enforces, revokes and administers fine-grained access entitlements (also referred to as “authorizations,” “privileges,” “access rights,” “permissions” and/or “rules”).",,1,0,0,0,0,
S.IGI,design,S.IGI.D4,Boolean,Provision for an audit connector ,"The audit connector facilitates the automation of audit processes, especially if conducted by external and 3rd parties institutions.",,1,0,0,100,100,
S.IGI,design,S.IGI.D5,Boolean,Provision for IDM policies ,Identity management (IDM) is a framework of rules and policies to guarantee that only the right users—those who are a part of the network surrounding or residing inside an enterprise—have access to the resources needed to use technology.,,1,0,0,0,0,
S.IGI,design,S.IGI.D6,Boolean,Catalogue of assets ,An asset in a catalog contains information about data or data analysis.,,1,0,0,0,0,
S.IGI,design,S.IGI.D7,Boolean,Catalogue of controls ,"The security control catalogue contains statements describing the behaviour, mechanisms, and indications of implementation for each control as well as references to additional pertinent documentation. ",,1,0,0,0,0,
S.IGI,design,S.IGI.D8,Boolean,Provision for Segregation of Duties violation policy ,"The fundamental idea behind the concept of Segregation of Tasks (SoD) is that no individual or group of employees should be able to create fraudulent or erroneous transactions as part of their routine duties. In the context of user access, a SoD ""ruleset"" is a thorough collection of access combinations that would pose a risk to an organisation if performed by a single user. Each unique access combination is referred to as a ""rule"" of SoD.",,1,0,0,0,0,
S.IGI,operational,S.IGI.O1,Boolean,Periodic review of connectors and applications ,"Connectors are used to integrate Identity Governance platform with external, identity-aware applications.",,1,0,0,100,,
